,question,answer
0,"In which year was the movie ""Interstellar"" with Matthew McConaughey released?",2014
1,Identify a 2015 film starring Jennifer Lawrence.,The Hunger Games: Mockingjay - Part 2
2,Name a movie released in 2013 with Christian Bale in the lead role.,American Hustle
3,"Can you mention a 2016 release that shares its lead actor with ""Deadpool""?",Deadpool
4,Which film stars Leonardo DiCaprio and was released in 2015?,The Revenant
5,What is the title of the 2014 movie featuring Scarlett Johansson?,Lucy
6,Which 2016 movie stars Henry Cavill and Ben Affleck?,Batman v Superman: Dawn of Justice
7,"In which year was the movie ""The Martian"" with Matt Damon released?",2015
8,Identify a film from 2013 that stars Sandra Bullock.,Gravity
9,Name a 2013 release with Hugh Jackman as the lead actor.,The Wolverine
10,Can you mention a 2012 movie with Anne Hathaway in the lead role?,Les Misérables
11,What is the title of the film from 2016 featuring Margot Robbie?,Suicide Squad
12,Which 2014 movie stars Dwayne Johnson?,Hercules
13,"In which year was the movie ""The Girl on the Train"" released with Emily Blunt?",2016
14,Identify a 2015 film starring Tom Hardy.,Mad Max: Fury Road
15,Name a movie from 2015 with Mark Ruffalo in a leading role.,Spotlight
16,"Can you mention a 2016 release that shares its lead actor with ""Fantastic Beasts and Where to Find Them""?",Fantastic Beasts and Where to Find Them
17,Which film stars Will Smith and was released in 2016?,Suicide Squad
18,What is the title of the 2014 movie featuring Channing Tatum?,Jupiter Ascending
19,Which 2016 movie stars Felicity Jones?,Rogue One
20,"In which year was the movie ""Hacksaw Ridge"" with Andrew Garfield released?",2016
21,Identify a 2016 film starring Ryan Gosling.,La La Land
22,Name a movie released in 2014 with Jake Gyllenhaal in the lead role.,Nightcrawler
23,"Can you mention a 2016 release that shares its lead actor with ""Doctor Strange""?",Doctor Strange
24,Which film stars Matthew McConaughey and was released in 2014?,Interstellar
25,What is the title of the 2015 movie featuring Alicia Vikander?,The Danish Girl
26,Which 2016 movie stars Ben Affleck?,The Accountant
27,"In which year was the movie ""Captain America: Civil War"" released with Chris Evans?",2016
28,Identify a film from 2016 that stars Tom Hanks.,Sully
29,Name a 2015 release with Brie Larson as the lead actress.,Room
30,Can you mention a 2015 movie with Cate Blanchett in the lead role?,Carol
31,What is the title of the film from 2016 featuring Amy Adams?,Arrival
32,Which 2016 movie stars Matthew McConaughey?,Gold
33,"In which year was the movie ""The Nice Guys"" released with Russell Crowe?",2016
34,Identify a 2015 film starring Saoirse Ronan.,Brooklyn
35,Name a movie from 2015 with Michael Fassbender in a leading role.,Steve Jobs
36,"Can you mention a 2016 release that shares its lead actor with ""Zootopia""?",Zootopia
37,Which film stars Margot Robbie and was released in 2016?,Suicide Squad
38,What is the title of the 2016 movie featuring Will Smith?,Suicide Squad
39,Which 2016 movie stars Tom Hanks?,Inferno
40,"In which year was the movie ""Jason Bourne"" with Matt Damon released?",2016
41,Identify a 2016 film starring Dev Patel.,Lion
42,Name a movie released in 2016 with Amy Adams in the lead role.,Arrival
43,"Can you mention a 2016 release that shares its lead actor with ""War Dogs""?",War Dogs
44,Which film stars Emma Stone and was released in 2016?,La La Land
45,What is the title of the 2016 movie featuring Charlize Theron?,The Huntsman: Winter's War
46,Which 2016 movie stars Chris Pratt?,Passengers
